ID,PARENT_ID,TYPE,TITLE,HOURS_OR_MARKS,DETAILS,STATUS_TAG
CRS404197,,COURSE,404197: Project Stage - II,,"|     |     | Total  | 09  14  04  | 90  210  | 250  50  100  | 700  -  | -  -  | -   |
| --- | --- | ------ | ----------- | -------- | ------------- | ------- | ----- | --- |
Total Credits     09  07  04  20
Elective - 5  Elective - 6
|     | 1.  Biomedical Signal Processing    |     |     | 1. System on Chip     |     |     |     |     |
| --- | ----------------------------------- | --- | --- | --------------------- | --- | --- | --- | --- |
|     | 2.  Industrial Drives & Automation  |     |     | 2. Nano Electronics   |     |     |     |     |
|     | 3.  Android Development             |     |     | 3. Remote Sensing     |     |     |     |     |
|     | 4.  Embedded System Design          |     |     | 4. Digital Marketing  |     |     |     |     |
|     | 5.  Mobile Computing                |     |     | 5. Open Elective      |     |     |     |     |
Program Outcomes (PO’s)
Engineering Graduates will be able to:
1. Engineering knowledge: Apply the knowledge of mathematics, science, engineering
fundamentals, and an engineering specialization to the solution of complex engineering
problems.
2. Problem analysis: Identify, formulate, review research literature, and analyze complex
engineering problems reaching substantiated conclusions using first principles of mathematics,
natural sciences, and engineering sciences.
3. Design/development of solutions: Design solutions for complex engineering problems and
design system components or processes that meet the specified needs with appropriate
consideration for the public health and safety, and the cultural, societal, and environmental
considerations.
4. Conduct investigations of complex problems: Use research-based knowledge and research
methods including design of experiments, analysis and interpretation of data, and synthesis of
the information to provide valid conclusions.
5. Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern
engineering and IT tools including prediction and modeling to complex engineering activities
with an understanding of the limitations.
6. The engineer and society: Apply reasoning informed by the contextual knowledge to assess
societal, health, safety, legal and cultural issues and the consequent responsibilities relevant
to the professional engineering practice.
7. Environment and sustainability: Understand the impact of the professional engineering
solutions in societal and environmental contexts, and demonstrate the knowledge of, and
need for sustainable development.
8. Ethics: Apply ethical principles and commit to professional ethics and responsibilities and
norms of the engineering practice.
9. Individual and team work: Function effectively as an individual, and as a member or leader in
diverse teams, and in multidisciplinary settings.
10. Communication: Communicate effectively on complex engineering activities with the
engineering community and with society at large, such as, being able to comprehend and write
effective reports and design documentation, make effective presentations, and give and receive
clear instructions.
11. Project management and finance: Demonstrate knowledge and understanding of the
engineering and management principles and apply these to one’s own work, as a member and
leader in a team, to manage projects and in multidisciplinary environments.
12. Life-long learning: Recognize the need for, and have the preparation and ability to engage in
independent and life-long learning in the broadest context of technological change.
SEMESTER - VII
Savitribai Phule Pune University
Fourth Year of E & Tc Engineering (2019 Course)
404181: Radiation and Microwave Theory
Teaching Scheme: Credit Examination Scheme:
Theory: 03 Hrs. / Week 03 In-Sem (Theory): 30 Marks
End Sem (Theory): 70 Marks
Prerequisite Courses, if any:
1. Electromagnetic Field Theory
Companion Course, if any:",PENDING
LAB001,CRS404197,LAB,1. Lab Practice – 1,,"Course Objectives:
1. To introduce fundamental theory of radiation and microwaves.
2. To understand theory of passive and active components of microwave systems.
3. To know the characteristics of various microwave solid state active devices.
4. To learn microwave measurement techniques.
Course Outcomes: On completion of the course, learner will be able to",PENDING
CO001,CRS404197,CO,CO1,,"Apply the fundamentals of electromagnetic to derive free space propagation equation and
distinguish various performance parameters of antenna.",PENDING
CO002,CRS404197,CO,CO2,,"Identify various modes in the waveguide. Compare: coaxial line, rectangular waveguides &
striplines and identify applications of the same.",PENDING
CO003,CRS404197,CO,CO3,,Explore construction and working of principles passive microwave devices/components.,PENDING
CO004,CRS404197,CO,CO4,,Explore construction and working of principles active microwave devices/components.,PENDING
CO005,CRS404197,CO,CO5,,"Analyze the structure, characteristics, operation, equivalent circuits and applications of various
microwave solid state active devices.",PENDING
CO006,CRS404197,CO,CO6,,"Know the various microwave systems, device set ups of microwave measurement devices and
Identify the effect of radiations on environmental sustainability.
Course Contents",PENDING
UNT001,CO006,UNIT,Unit I: Fundamental Theory of Radiation and,6 Hrs,"Radiating Elements
Fundamental equations for free space propagation, Friis transmission equation, Definition of antenna,
radiation mechanism and types of antenna, performance parameters such as radiation pattern, directivity,
gain, efficiency, half power beam width, bandwidth, polarization, input impedance, radiation efficiency,
effective length, effective area, radiation sphere.
Mapping of Course CO1: Apply the fundamentals of electromagnetic to derive free space
Outcomes for Unit I propagation equation and distinguish various performance parameters
of antenna.",PENDING
UNT002,UNT001,UNIT,Unit Ii: Transmission Lines and Waveguides,6 Hrs,"| -------- | ---------------------------------- | --- | ------- |
Introduction  to  microwaves,  short  history  of  microwave  engineering,  frequency  band  definitions,
advantages and applications of microwaves (overall applications). Introduction to wave guides, advantages
of  waveguides,  comparison  of  waveguides  and  co-axial  cables,  Rectangular  waveguides,  modes  of
propagation in waveguides, cut off frequency, dominant mode, waveguide characteristics and parameters,
excitation in waveguides, coupling methods (probe, slot, loop), application of re-entrant cavities, coupling
of cavities, Striplines: Structural details, types and applications.
Mapping  of  Course  CO2:  Identify  various  modes  in  the  waveguide.  Compare:  coaxial  line,
Outcomes for Unit II  rectangular  waveguides  &  striplines  and  identify  applications  of  the
same.
|           |                               |     |         |
| --------- | ----------------------------- | --- | ------- |",PENDING
UNT003,UNT002,UNIT,Unit Iii: Passive Microwave Components,6 Hrs,"Construction, working principle and scattering analysis of passive microwave components such as E-
plane, H-plane and magic tee. Ferrite composition, characteristics and Faraday rotation principle.
Construction, working principle and scattering analysis of isolator, circulator and directional coupler.
Construction and operation of gyrator.
Mapping  of  Course  CO3:  Explore  construction  and  working  of  principles  passive  microwave
| Outcomes for Unit III  devices / components.  |                              |     |         |
| --------------------------------------------- | ---------------------------- | --- | ------- |
|                                               |                              |     |         |",PENDING
UNT004,UNT003,UNIT,Unit Iv: Active Microwave Components,6 Hrs,"Limitations of conventional tubes, O and M type classification of microwave tubes, re-entrant cavity,
velocity modulation. Construction, operation, performance analysis and applications of -Single cavity
and two cavity klystron, Cylindrical wave magnetron and Helix traveling wave.
Mapping  of  Course  CO4:  Explore  construction  and  working  of  principles  active  microwave
| Outcomes for Unit IV  devices/components.  |                                |     |         |
| ------------------------------------------ | ------------------------------ | --- | ------- |
|                                            |                                |     |         |",PENDING
UNT005,UNT004,UNIT,Unit V: Solid State Microwave Devices,6 Hrs,"Introduction,  Principle  of  operation,  construction,  characteristics,  parameters  with  analysis  of
Microwave transistors, MOSFET, Varactor diodes, Parametric amplifiers, PIN diodes, Tunnel diodes,
application as amplifiers, oscillators, modulators, demodulators, Schottky Barrier diodes, Transferred
Electron devices: Gunn diode, Avalanche diode, Transit Time devices like IMPATT, TRAPATT
diodes.
Mapping  of  Course  CO5: Analyze the structure, characteristics, operation, equivalent circuits and
Outcomes for Unit V  applications of various microwave solid state active devices.
|     |     |     |     |
| --- | --- | --- | --- |",PENDING
UNT006,UNT005,UNIT,Unit Vi: Microwave Systems and Microwave,6 Hrs,"Measurement Techniques
Microwave terrestrial and satellite communication system, Fundamentals of RADAR and RADAR
range equation. Industrial applications of microwaves such as microwave heating, medical application
such as microwave diathermy. Microwave measurement devices such as slotted line, tunable detector,
VSWR meter, power meter, and their working principles. Microwave measurement techniques to
measure S-parameters, frequency, power, attenuation, VSWR, impedance. Radiation hazards and
protection.
Mapping of Course CO6: Know the various microwave systems, device set ups of microwave
Outcomes for Unit VI measurement devices and Identify the effect of radiations on
environmental sustainability.
Learning Resources
Text Books:
1. C.A. Balanis, “Antenna Theory - Analysis and Design"", 4th Edition, John Wiley.
2. Samuel Y. Liao, “Microwave Devices and Circuits”, 3rd Edition, Pearson.
3. Annapurna Das and Sisir K. Das, “Microwave Engineering"", 2nd Edition, Tata McGraw Hill.
Reference Books:
1. K. D. Prasad, “Antenna & Wave Propagation”, 3rd Edition, Satya Prakashan, New Delhi.
2. E.C. Jordon and E.G. Balman, “Electromagnetic Waves and Radiation Systems”, 2nd Edition,
Prentice Hall Inc.
3. David M. Pozar, “Microwave Engineering"", 4th Edition, John Wiley.
4. Ahmad Shahid Khan, “Microwave Engineering: Concepts and Fundamentals”, CRC Press
5. M. Kulkarni, “Microwave and Radar Engineering, 3rd Edition, Umesh Publication
MOOC / NPTEL Courses:
1. NPTEL Course on “Microwave Theory and Techniques”, By Prof. Girish Kumar, IIT
Mumbai
Link: https://nptel.ac.in/courses/108101112
2. NPTEL Course on “Antenna”, By Prof. Girish Kumar, IIT Mumbai
Link: https://nptel.ac.in/courses/108101092
Savitribai Phule Pune University
Fourth Year of E & Tc Engineering (2019 Course)
404182: VLSI Design and Technology
Teaching Scheme: Credit Examination Scheme:
Theory: 03 Hrs. / Week 03 In-Sem (Theory): 30 Marks
End Sem (Theory): 70 Marks
Prerequisite Courses, if any:
1. Digital Electronics
Companion Course, if any:",PENDING
LAB002,UNT006,LAB,1. Lab Practice – 2,,"Course Objectives:
1. To explore Hardware Description Language (HDL) and respective digital design methodologies.
2. To train the students for Complementary Metal Oxide Semiconductor (CMOS) circuit designs.
3. To realize importance of testability in logic circuit design.
4. To overview an Application Specific Integrated Circuit (ASIC) issues and to understand
Programmable Logic Devices (PLD) architectures with advanced features.
Course Outcomes: On completion of the course, learner will be able to",PENDING
CO007,UNT006,CO,CO1,,Develop effective HDL codes for digital design.,PENDING
CO008,UNT006,CO,CO2,,Apply knowledge of real time issues in digital design.,PENDING
CO009,UNT006,CO,CO3,,"Model digital circuit with HDL, simulate, synthesis and prototype in PLDs.",PENDING
CO010,UNT006,CO,CO4,,Design CMOS circuits for specified applications.,PENDING
CO011,UNT006,CO,CO5,,Analyze various issues and constraints in design of an ASIC.,PENDING
CO012,UNT006,CO,CO6,,"Apply knowledge of testability in design and Build In Self Test (BIST) circuit.
Course Contents",PENDING
UNT007,CO012,UNIT,Unit I: Design with HDL,7 Hrs,"Design Flow, Language constructs, Data objects, Data types, Entity, Architecture & types of modeling,
Sequential statements, Concurrent statements, Packages, Sub programs, Attributes, HDL modeling of
Combinational, Sequential circuits and FSM. Simulations, Synthesis, Efficient coding styles,
Hierarchical and flat designs, Partitioning for synthesis, Pipelining, Resource sharing.
Mapping of Course CO1: Develop effective HDL codes for digital design.
Outcomes for Unit I",PENDING
UNT008,UNT007,UNIT,Unit Ii: Digital Design and Issues,6 Hrs,"Sequential synchronous machine design, Moore and Mealy machines, HDL code for Machines, FIFO.
Meta-stability and solutions. Noise margin, Fan-out, Skew, Timing considerations, Hazards, Clock
distribution, Clock jitter, Supply and ground bounce, Power distribution techniques, Power
optimization. Interconnect routing techniques, Wire parasitic, Signal integrity issues. I/O architecture.
Mapping of Course CO2: Apply knowledge of real time issues in digital design.
Outcomes for Unit II",PENDING
UNT009,UNT008,UNIT,Unit Iii: PLD Architectures and Applications,6 Hrs,"| --------- | ----------------------------------- | --- | --- | ------- |
Design  Flow.  CPLD  Architecture,  Features,  Specifications,  Applications.  FPGA  Architecture,
Features,  Specifications,  Applications.  Clock  management  techniques.  The  Simulation  and
Synthesis Tools, FPGA synthesis and implementation. Comparison of CPLD & FPGA.
Mapping  of  Course  CO3: Model digital circuit with HDL, simulate, synthesis and prototype in
| Outcomes for Unit III            PLDs.  |     |                        |     |         |
| --------------------------------------- | --- | ---------------------- | --- | ------- |
|                                         |     |                        |     |         |",PENDING
UNT010,UNT009,UNIT,Unit Iv: Digital CMOS Circuits,7 Hrs,"N-MOS, P-MOS and CMOS. MOSFET parasitic, Technology scaling, Channel length modulation,
Hot electron effect, Velocity saturation. CMOS Inverter, Device sizing, CMOS combinational logic
design, Power dissipations, Power delay product, Body Effect, Rise and fall times, Latch Up effect,
Transmission gates.
Mapping  of  Course  CO4:  Design CMOS circuits for specified applications.
Outcomes for Unit IV
|         |                                           |     |     |         |
| ------- | ----------------------------------------- | --- | --- | ------- |",PENDING
UNT011,UNT010,UNIT,Unit V: Application Specific Integrated Circuits,7 Hrs,"Design  Flow,  Cell  design  specifications,  Spice  simulation,  AC  and  DC  analysis,  Transfer
Characteristics, Transient responses, Noise analysis, Lambda rules, Design Rule Check, Fabrication
methods  of  circuit  elements,  Layout  of  cell,  Library  cell  designing  for  NAND  &  NOR,  Circuit
Extraction,  Electrical  Rule  Check,  Layout  Vs.  Schematic,  Post-layout  Simulation  and  Parasitic
extraction, Design Issues like Antenna effect, Electro migration effect, Cross talk and Drain punch
through, Timing analysis.
Mapping  of  Course  CO5:  Analyze various issues and constraints in design of an ASIC.
| Outcomes for Unit V    |     |                            |     |         |
| ---------------------- | --- | -------------------------- | --- | ------- |
|                        |     |                            |     |         |",PENDING
UNT012,UNT011,UNIT,Unit Vi: VLSI Testing and Analysis,6 Hrs,"Types of fault, Need of Design for Testability (DFT), DFT Guideline, Testability, Fault models, Path
sensitizing, Test pattern generation, Sequential circuit test, Built In Self Test, JTAG & Boundary scan,
TAP Controller.
Mapping  of  Course  Apply knowledge of testability in design and Build In Self Test (BIST) circuit.
Outcomes for Unit VI
Learning Resources
Text Books:
1.  Charles H. Roth, “Digital Systems Design using VHDL”, 2nd Edition, Thompson Learning
Wyane Wolf, “Modern VLSI Design (IP-Based Design)”, 4th Edition, Prentice Hall.
2.
3.  Steve Kilts, “Advanced FPGA Design Architecture, Implementation and Optimization”
Wiley Interscience.
4.  E.  Weste, David Money Harris, “CMOS  VLSI  Design:  A  Circuit  & System   Perspective”,
4th Edition, Pearson Publication.
Reference Books:
1. R. Jacob Baker, “CMOS Circuit Design, Layout, and Simulation”, 3rd Edition, Wiley-IEEE
Press.
2. John F. Wakerly, “Digital Design Principles and Practices”, 3rd Edition, Prentice Hall.
3. M. Morris Mano , “Digital Design”, 3rd Edition , Pearson.
4. Cem Unsalan, Bora Tar, “Digital System Design with FPGA: Implementation Using Verilog
and VHDL”, McGraw-Hill.
MOOC / NPTEL Courses:
1. NPTEL Course on “VLSI Technology”, By Dr. Nandita Dasgupta, IIT Madras
Link: https://nptel.ac.in/courses/117106093
2. NPTEL Course on “VLSI Circuits”, By Prof. S.Srinivasan, IIT Madras
Link: https://nptel.ac.in/courses/117106092
Savitribai Phule Pune University
Fourth Year of E & Tc Engineering (2019 Course)
404183: Cloud Computing
Teaching Scheme: Credit Examination Scheme:
Theory: 03 Hrs. / Week 03 In-Sem (Theory): 30 Marks
End Sem (Theory): 70 Marks
Prerequisite Courses, if any:
1. Database Management
Companion Course, if any:",PENDING
LAB003,UNT012,LAB,1. Lab Practice – 1,,"Course Objectives:
1. To introduce the fundamentals of Cloud computing, its technologies, Challenges and
Applications
2. To give Insights into the virtualization technologies and Architecture.
3. To know the relationship between Cloud and SOA.
4. To classify and evaluate Cloud Security Issues.",PENDING
LAB004,LAB003,LAB,5. To apply theory to practical knowledge through case Studies.,,"Course Outcomes: On completion of the course, learner will be able to",PENDING
CO013,LAB003,CO,CO1,,Understand the basic concepts of Cloud Computing.,PENDING
CO014,LAB003,CO,CO2,,Describe the underlying principles of different Cloud Service Models.,PENDING
CO015,LAB003,CO,CO3,,Classify the types of Virtualization.,PENDING
CO016,LAB003,CO,CO4,,Examine the Cloud Architecture and understand the importance of Cloud Security.,PENDING
CO017,LAB003,CO,CO5,,Develop applications on Cloud Platforms.,PENDING
CO018,LAB003,CO,CO6,,"Evaluate distributed computing and the Internet of Things.
Course Contents",PENDING
UNT013,CO018,UNIT,Unit I: Fundamentals of Cloud Computing,6 Hrs,"Introduction to Cloud Computing, History of Cloud Computing, Characteristics of Cloud Computing,
Cloud Types: NIST, Cloud cube, Cloud service models, Cloud Computing deployment models,
Exploring the Cloud Computing Stack, Advantages, Disadvantages and Applications of cloud
computing.
Mapping of Course CO1: Understand the basic concepts of Cloud Computing.
Outcomes for Unit I",PENDING
UNT014,UNT013,UNIT,Unit Ii: Cloud Service Models,6 Hrs,"Introduction and benefits of Cloud services, Characteristics, benefits, applications of different cloud
service models, Software as a service( SaaS), Platform as a service (PaaS), Infrastructure as a service
(IaaS), Network as a service (NaaS), Identity as a service (IdaaS), Database as a service (DbaaS),
Comparison of cloud services.
Mapping  of  Course  CO2: Describe the underlying principles of different Cloud Service Models.
Outcomes for Unit II",PENDING
UNT015,UNT014,UNIT,Unit Iii: Virtualization,6 Hrs,"| --------- | --- | --- | --------------- | ------- |
Introduction to Virtualization, Difference between Cloud Computing and Virtualization
Types  of  Virtualization:  Hardware,  Software,  Operating  system,  Server,  Storage,  Methods  of
implementing storage Virtualization, Network Virtualization Types, Advantages, Disadvantages,
Virtualization Architecture and Software, Virtual Clustering, Applications of Virtualization.
| Mapping                | of  Course  | CO3:  Classify the types of Virtualization.  |     |         |
| ---------------------- | ----------- | -------------------------------------------- | --- | ------- |
| Outcomes for Unit III  |             |                                              |     |         |
|                        |             |                                              |     |         |",PENDING
UNT016,UNT015,UNIT,Unit Iv: Service Oriented Architecture and Cloud,7 Hrs,"Security
Cloud Computing Architecture (COA): Design principles, Cloud computing life cycle (CCLC),
Cloud  computing  reference  architecture,  Service  Oriented  Architecture  (SOA)  characteristics  and
fundamental components.
Cloud  Security:    Cloud  CIA  security  model  (Confidentiality,  Integrity  and  Availability),  Cloud
computing  security  architecture,  Service  provider  security  issues,  Cloud  Security  Issues  and
challenges, Security issues in virtualization, Host Security, Data Security, Firewalls.
Mapping  of  Course  CO4:  Examine the Cloud Architecture and understand the importance of
Cloud Security.
Outcomes for Unit IV
|         |     |                                    |     |         |
| ------- | --- | ---------------------------------- | --- | ------- |",PENDING
UNT017,UNT016,UNIT,Unit V: Cloud Environment and Application,7 Hrs,"Development
Cloud  Platforms:  Google  App  Engine,  Compute  Services,  Storage  Services,  Communication
Services, Amazon Web Services Architecture and core concepts, Application Lifecycle, Cost Model,
Microsoft Azure Cloud services Azure core concepts, Windows Azure Platform Appliance.
Mapping  of  Course  CO5: Develop applications on Cloud Platforms.
Outcomes for Unit V
|     |     |     |     |     |
| --- | --- | --- | --- | --- |",PENDING
UNT018,UNT017,UNIT,Unit Vi: Distributed Computing and Internet of Things,6 Hrs,"Distributed Computing: Need, Distributed computing vs. Cloud computing, Enabling Technologies for
the Internet of Things, Innovative Applications of the Internet of Things, Online Social and
Professional Networking.
Mapping  of  Course  CO6:  Evaluate Distributed Computing and the Internet of Things.
Outcomes for Unit VI
Learning Resources
Text Books:
1. Kailash Jayaswal, Jagannath Kallakurchi, Donald J. Houde, Dr. Deven Shah, “Cloud
Computing: Black Book”, Dreamtech Press.
2. Surbhi Rastogi, “Cloud Computing Simplified”, 2021 Edition, BPB Publications.
3. Kai Hwang, Geoffrey.C.Fox., Jack J. Dongarra, “Distributed and Cloud Computing: From
Parallel Processing to Internet of Things”, MK Publications, Elsevier
Reference Books:
1. 1. Kamal Kant Hiran, et al. “Cloud Computing: Master the concepts, Architecture and
2. Applications with Real-world examples and Case Studies”, 1st Edition, BPB Publication.
3. 2. Judith Hurwitz, “Cloud Computing for dummies”, 2nd Edition, Wiley India.",PENDING
LAB005,UNT018,LAB,"4. 3. A. Srinavasan, J. Suresh, “Cloud Computing: A Practical Approach for Learning and",,"5. Implementation”, Pearson.",PENDING
LAB006,LAB005,LAB,"6. 4. Anthony T. Velte Toby J. Velte, Robert Elsenpeter, “Cloud Computing: A Practical Approach”,",,"7. McGraw-Hill.
8. 5. Barrie Sosinsky, “Cloud Computing Bible”, Wiley Publishing Inc.
9. 6. Rajkumar Buyya, Christian Vecchiola, S. Thamarai Selvi, “Mastering Cloud Computing”,
McGraw Hill Education
MOOC / NPTEL Courses:
1. NPTEL Course on “Cloud Computing”, By Prof. Soumya Kanti Ghosh, IIT Kharagpur.
Link: https://nptel.ac.in/courses/106105093
2. NPTEL Course on “Google Cloud Computing Foundation Course”, By Prof. Soumya Kanti
Ghosh, IIT Kharagpur.
Link: https://nptel.ac.in/courses/106105223
Recommended Websites:
1. www.whatiscloud.com
2. www.cloudcomputingpatterns.org
3. www.w3schools.com
Savitribai Phule Pune University
Fourth Year of E & Tc Engineering (2019 Course)",PENDING
CRS404184,,COURSE,404184: (A): Speech Processing (Elective - III),,"Teaching Scheme: Credit Examination Scheme:
Theory: 03 Hrs. / Week 03 In-Sem (Theory): 30 Marks
End Sem (Theory): 70 Marks
Prerequisite Courses, if any:
1. Signals & Systems
2. Digital Signal Processing
Companion Course, if any:",PENDING
LAB007,CRS404184,LAB,1. Lab Practice – 2,,"Course Objectives:
1. To understand basics of Human speech production mechanism and classification of speech
sounds.
2. To understand the short-term analysis of speech signal in time and frequency domain.
3. To extract the information of the speech signal in terms of cepstral features.
4. To understand various audio and speech coding techniques using speech Modelling algorithms.
5. To provide a platform for developing applications in the field of speech and audio processing.
Course Outcomes: On completion of the course, learner will be able to",PENDING
CO019,CRS404184,CO,CO1,,Understand basics of Human speech production mechanism.,PENDING
CO020,CRS404184,CO,CO2,,Classify speech sounds based on acoustic and articulatory phonetics.,PENDING
CO021,CRS404184,CO,CO3,,"Analyse speech signal to extract the characteristic of vocal tract (formants) and vocal cords
(pitch).",PENDING
CO022,CRS404184,CO,CO4,,Evaluate speech signal for extracting LPC and MFCC Parameters of speech signal.,PENDING
CO023,CRS404184,CO,CO5,,"Implement algorithms for processing of speech and audio signals considering the properties of
acoustic signals.",PENDING
CO024,CRS404184,CO,CO6,,"Design speech recognition application for speech signal analysis.
Course Contents",PENDING
UNT019,CO024,UNIT,Unit I: Fundamentals of Speech Processing,6 Hrs,"Human speech production mechanism, LTI model for speech production, Nature of speech signal,
phonetics, articulators, manner of articulation, place of articulation, linear time varying model.
Classification of speech sounds: vowels, semivowels, nasal diphthongs, stops, affricates, fricative,
vowel triangle.
Parameters of speech: Fundamental frequency or pitch frequency-Autocorrelation method for finding
pitch period, AMDF method for finding pitch period. Formants.
Mapping of Course CO1: Understand basics of Human speech production mechanism.
Outcomes for Unit I",PENDING
UNT020,UNT019,UNIT,Unit Ii: Time and Frequency domain methods for,7 Hrs,"| -------- | -------------------------------------- | --- | --- | ------- |
Speech and Audio signal analysis.
Time dependent speech processing. Short-time energy, short time average magnitude, Short time
average zero crossing rate. Speech Vs. silence discrimination using energy and zero crossing rate.
Short-time autocorrelation function, short-time average magnitude difference function. Audio feature
extraction,  Spectral  centroid,  spectral  spread,  spectral  entropy,  spectral  flux,  spectral  roll-off.
Spectrogram: narrow band and wide band spectrogram.
Mapping  of  Course  CO2: Classify speech sounds based on acoustic and articulatory phonetics.
| Outcomes for Unit II  |                                          |     |     |         |
| --------------------- | ---------------------------------------- | --- | --- | ------- |
|                       |                                          |     |     |         |",PENDING
UNT021,UNT020,UNIT,Unit Iii: Linear prediction and cepstral analysis,6 Hrs,"Basic principles of linear predictive analysis, Linear prediction of speech, auto correlation, formulation
of  LPC  equation,  solution  of  LPC  equations,  Cepstral  analysis  of  speech,  cepstral  coefficients,
Computation of Mel Frequency Cepstral Coefficients (MFCC).
Mapping  of  Course  CO3: Analyse speech signal to extract the characteristic of vocal tract
| Outcomes for Unit III  |          (formants) and vocal cords (pitch).  |                          |     |         |
| ---------------------- | --------------------------------------------- | ------------------------ | --- | ------- |
|                        |                                               |                          |     |         |",PENDING
UNT022,UNT021,UNIT,Unit Iv: Speech and Audio Coding,6 Hrs,"Time domain waveform coding: Linear PCM, Companded PCM, DPCM.
Spectral coders: Filter bank analysis, sub-band coders, Adaptive transform coders (ATC), Harmonic
coding. Linear predictive coders (LPC), Non-LP source voice coders: phase vocoders, Homomorphic
(Cepstral) vocoders.
Mapping  of  Course  CO4: Evaluate speech signal for extracting LPC and MFCC Parameters of
| Outcomes for Unit IV  | speech signal.                     |     |     |         |
| --------------------- | ---------------------------------- | --- | --- | ------- |
|                       |                                    |     |     |         |",PENDING
UNT023,UNT022,UNIT,Unit V: Applications of Speech Processing,6 Hrs,"Automatic  Speech  Recognition,  Feature  Extraction  for  ASR,  Deterministic  sequence  recognition,
Statistical Sequence recognition, ASR systems, Speaker identification and verification.
Speech  Synthesis:  Text-to-Speech  Synthesis:  Concatenative  and  waveform  synthesis  methods,
intelligibility and naturalness in speech synthesis, role of prosody.
Mapping  of  Course  CO5: Implement algorithms for processing of speech and audio signals
Outcomes for Unit V            considering the properties of acoustic signals.
|          |                                           |     |     |         |
| -------- | ----------------------------------------- | --- | --- | ------- |",PENDING
